Hi.	مرحبًا.
I was supposed to tell Tom where to go.	كان من المفترض أن أخبر توم أين عليه الذهاب.
I wasn't aware that Tom should do that.	لم أكن أعلم بأنه على توم فعل ذلك.
I will ask him about it tomorrow, then.	إذاً سأسأله عن ذلك غداً.
I would like to get a camera like this.	لكم أريد الحصول على كاميرا مثل تلك!
I'll try to shape my ideas into a book.	سأحاول وضع أفكاري في كتاب.
I'm going to play chess with Tom today.	سألعب الشطرنج مع توم اليوم.
I'm looking forward to summer vacation.	أنا أتتطلع لإجازة الصيف.
I'm looking forward to summer vacation.	أنا أتتطلع لعطلة الصيف.
I'm sorry I didn't reply to you sooner.	أعتذر لعدم الرد عليك أبكر.
I'm sure I'll find a good gift for Tom.	أنا متأكد أني سأجد هدية جيدة لتوم.
If you don't like it then you can quit.	إن لم يعجبك فبإمكانك أن تتركه.
If you eat too much, you'll become fat.	إذا أكلت كثيرًا فإنك تصير سمينًا.
Instead of going myself, I sent a gift.	بعثت بهدية عوضاً عن الذهاب بنفسي.
It is impossible to live without water.	من المستحيل العيش بدون ماء.
It's very important to get enough rest.	انه لمن المهم جداً الحصول على كفاية من الراحة.
It's very important to get enough rest.	انه لمن المهم جداً الحصول على ما يكفي من الراحة.
January is the first month of the year.	يناير هو أول شهر في السنة.
Japan relies on Arab countries for oil.	تعتمد اليابان على نفط البلدان العربية.
Lightning normally accompanies thunder.	يصاحب البرق الرعد عادة.
Many students took part in the contest.	شارك كثير من الطلاب في المسابقة.
Mars resembles our planet in some ways.	كوكب المريخ يشبه كوكبنا في نواحي عدّة.
My daughter is getting married in June.	ستتزوج ابنتي في يونيو
My mom doesn't speak English very well.	أمي لا تتحدث الإنجليزية بشكل جيد جداً.
My mom doesn't speak English very well.	والدتي لا تتحدث الإنجليزية بشكل جيد جداً.
Not many students attended the meeting.	لم يحضر الاجتماع طلاب كثر.
One of my dreams is to learn Icelandic.	إحدى أمنياتي هي أن أتعلم اللغة الآيسلندية.
Seeing the policeman, the man ran away.	هرب الرجل بعد أن رأى الشرطي.
Seeing the policeman, the man ran away.	هرب الرجل عقب رؤية الشرطي.
She has gone through many difficulties.	لقد مرَّت بالكثير من الصعوبات.
She made friends with Tom at the party.	تعرّفت على توم في الحفلة و أصبحا صديقَيْن.
She should listen more to other people.	ينبغي لها أن تستمع إلى آراء الآخرين أكثر.
Thank you for inviting me to the party.	شكرأ على دعوتكَ لي إلى الحفلة.
Thank you for inviting me to the party.	شكراً لدعوتكِ لي إلى الحفلة.
That kind of person will fail for sure.	إنسان من ذلك النوع سيفشل بالتأكيد.
The card you drew was a red, wasn't it?	البطاقة التي سحبتها حمراء، أليس كذلك؟
The committee consists of four members.	تتكون الهيئة من أربعة أعضاء.
The committee consists of four members.	يتألف المجلس من أربعة أعضاء.
The crowd yelled when he scored a goal.	هتف الجمهور عندما سجل هدفاً.
The enemy kept up the attack all night.	داوم العدو على الهجوم طوال الليل.
The grand jury indicted Tom for murder.	إتهمت هيئة المحلفين الكبرى توم بجريمة قتل.
The phone rang when I was having lunch.	رنّ الجرس عندما كنت أتغدّى.
The phone rang when I was having lunch.	رنّ جرس الهاتف و أنا آكل طعام الغداء.
The police have Tom under surveillance.	وضعت الشرطة توم تحت المراقبة.
The ship was at the mercy of the waves.	كانت السفينة تحت رحمة الأمواج.
The swans migrate from here to Florida.	يهاجر البجع من هنا إلى فلوريدا.
There are a few shops next to my house.	توجد بعض المحلات قرب منزلي.
There are a lot of students in the gym.	هناك الكثير من الطلبة في القاعة الرياضية.
There were 150 passengers on the plane.	كان هناك 150 راكباً على متن الطائرة.
There were a lot of people in the room.	كان هناك الكثير من الناس في الغرفة.
There's a body in the trunk of the car.	توجد جثّة في صندوق السيّارة.
This is the worst thing I've ever done.	هذأ أسوأ شيء أرتكبتُه.
Tom can't understand why Mary is angry.	توم لا يستطيع أن يفهم لماذا مارى غاضبة.
Tom didn't want to look like a tourist.	توم لا يريد ان يبدو كسائح .
Tom doesn't have either a cat or a dog.	ليس لتوم هرّ ولا كلب.
Tom doesn't like talking about himself.	لا يحب توم التحدث عن نفسه.
Tom doesn't think that Mary is at home.	لا يظن توم أن ماري في البيت.
Tom felt something crawling on his arm.	أحس توم بشيء يزحف على ذراعه.
Tom got quite a few positive responses.	تلقى توم كما لا بأس به من الردود الجيدة.
Tom hung his new dartboard on the wall.	توم علق لوح السهام المريشة خاصته على الحائط.
Tom knows a lot about American history.	توم يعرف الكثير عن التاريخ الأميركي.
Tom tried his hardest to persuade Mary.	حاول توم كل ما بوسعه لإقناع ماري.
Tom wanted to know where Mary had been.	أراد توم معرفة أين كانت ماري.
Tom was the last one to see Mary alive.	توم كان آخر من رأى ماري حيّة.
Tom wouldn't have known the difference.	توم لم يكن ليعرف الفرق.
Try it and tell me what it tastes like.	ذوقيه و أخبريني عن طعمه.
We appreciate everything you have done.	نقدر كل ما عملته.
We need to communicate with each other.	نحتاج ان نتواصل مع بعضنا البعض.
What he said would happen has happened.	حصل ما قال أنه سيحصل.
What time did you go to bed last night?	متى خلدت إلى النوم ليلة الأمس؟
When he heard the news, he turned pale.	عندما سَمِعَ الأخبار, تحولَ شاحباً.
When was the last time you rode a bike?	متى كانت آخر مرة ركبت بها دراجة هوائية ؟
Which do you like better, meat or fish?	أيهما تفضل اللحم أم السمك؟
Why did you leave your job on the farm?	لماذا تركت عملك في المزرعة؟
Why didn't you tell us you knew French?	لماذا لم تخبرنا بانك تعرف الفرنسية؟
Why doesn't he send me letters anymore?	لِمَ لَمْ يعد يرسل لي رسائلا؟
Why is autumn called "fall" in America?	لماذا يسمى الخريف "fall" في أمريكا؟
Would you tell me what's going on here?	أيمكنك إخباري بما يحدث هنا؟
You have brought shame upon our family.	أنتَ جلبتَ العار علىَ عائلتنا.
You made the same mistake as last time.	أخطأت نفس خطإكَ المرة السابقة.
You must be the temporary we asked for.	لا بد أنك البديل المؤقت الذي طلبناه.
You must realize that I can't help you.	يجب أن تدرك بأننا لن نستطيع تقديم يد العون.
You'd better start as soon as possible.	من الأفضل لك أن تبدأ في أقرب فرصة ممكنة.
You'd better take an umbrella with you.	من الأفضل أن تأخذ مظلّة معك.
You'll feel better tomorrow, I promise.	ستشعر بتحسّن غدا، أعدك بذلك.
Your examination results are excellent.	نتيجة اختبارك ممتازة.
Your examination results are excellent.	درجتك في الإمتحان ممتازة.
All of my grandparents are still living.	كل اجدادي ما زالوا يعيشون
All you have to do is tell Tom to leave.	كل ما عليك فعله هو إخبار توم بأن يرحل.
All you have to do is tell Tom to leave.	كل ما عليك فعله هو إخبار توم بأن يغادر.
Can you translate English into Japanese?	أيمكنك ترجمة الإنجليزية إلى اليابانية؟
Children begin school at the age of six.	يبدأ الأطفال بالذهاب إلى المدرسة في سن السادسة.
Could I get a little piece of that cake?	أيمكنني الحصول على قطعة من تلك الكعكة؟
Could you give me a ride to the station?	هل يمكنك إيصالي إلى المحطة؟
Darwin changed the way we see the world.	لقد غيرَ داروين الطريقة التي نري بها العالم.
Did you practice the piano this morning?	هل تدربت على عزف البيانو هذا الصباح؟
Do you have the time to drink something?	هل عندك الوقت لتشرب شيئا ما؟
Do you know if he's coming to the party?	هل تعرف إن كان سيحضر الحفل؟
Do you know who invented the microscope?	هل تعلم من هو مخترع المجهر؟
Do you really think that Tom won't come?	هل تظن حقا أن توم لن يأتي؟
Do you think this book is worth reading?	هل تعتقد أن هذا الكتاب يستحق القراءة؟
Either you or I must attend the meeting.	يجب أن يحضر الاجتماع أحدنا، إما أنا أو أنت.
English has many loan words from French.	استعارت اللغة الإنجليزية كلمات كثيرة من الفرنسية.
Few people know anything about the plan.	القليل يعرف أي شيء عن الخطة.
Have you ever been to the United States?	هل سبق لك أن ذهبت إلى الولايات المتحدة؟
Have you finished your homework already?	هل أنهيت واجبك بهذه السرعة؟
He fell in love with her at first sight.	وقع في حبها من النظرة الأولى.
He has been warned on several occasions.	قد أُنذِر مرات عديدة.
He only paid ten dollars for that shirt.	دفع عشرة دولارات فقط لذلك القميص.
He was covered in mud from head to foot.	غطاه الوحل من رأسه إلى أخمص قدميه.
He was covered in mud from head to foot.	غطاه الوحل من رأسه حتى قدميه.
He was hit by a car and died right away.	صدمته سيارة و مات على الفور.
He will hire someone who speaks English.	سيوظف شخصا يتحدث الإنجليزية.
He's very honest, so we can rely on him.	إنهُ أمين جداً, لذلك يمكننا الإعتماد عليه.
Her ambition is to become an ambassador.	طموحها هو أن تصبح سفيرة.
Her ambition is to become an ambassador.	طموحه أن يصبح سفيرا.
His wife goes with him wherever he goes.	تذهب زوجته معه أينما ذهب.
How long have you been teaching Spanish?	كم المدة وأنتَ تُعلم الإسبانية؟
How many people did you see in the park?	كم شخصًا رأيت في المنتزه؟
Humans were never meant to live forever.	لم يُقدَّر للبشر إطلاقًا أن يعيشوا إلى الأبد.
I am thinking of going to the mountains.	أفكر في الذهاب إلى الجبال.
I assume the two of you know each other.	أفترض أنكما تعرفان بعضكما.
I can't remember where I parked the car.	لا أتذكر اين اوقفت السيارة
I don't feel like eating anything today.	لا أشعر بتناول أي طعامٍ اليوم.
I don't for a moment doubt your honesty.	لا أشكّ لحظة في صدقك.
I don't have the time to read that book.	لا أملك الوقت الكافي لقراءة هذا الكتاب
I don't know if I'll have time to do it.	لا أعلم إن كنت سأملك الوقت لفعله.
I don't know this neighborhood too well.	لا أعرف هذا الحي جيدا.
I don't think Tom would want to do that.	لا أظنّن توم يريد فعل ذلك.
I don't think you'll be able to do that.	لا أظنك قادرا على فعل ذلك.
I don't understand this question at all.	لست أستعوب هذا السؤال أبدا.
I have no words to express my gratitude.	الكلمات لا يمكنها أن تعبر عن شكري لك.
I have no words to express my gratitude.	الكلمات لا يمكنها التعبير عن شكري بما يكفي.
I heard my mother singing in the shower.	سمعت والدتي تغني في الحمام.
I liked the room overlooking the valley.	أعجبتني الغرفة المطلة على الوادي.
I really wasn't expecting that from you.	لم أكن أتوقع هذا منك حقا.
I remember hearing that music somewhere.	أتذكر أني سمعت هذه الموسيقى في مكان ما من قبل.
I thank you from the bottom of my heart.	إني شاكر لك من أعماق قلبي.
I was very careful, but I caught a cold.	كنتُ حذراً جداً، لكنني أصبتُ بنزلةِ برد.
I wonder where Tom is and who he's with.	أنا أتساءل أين توم ومع من.
I would help you if you were in trouble.	إن كنت في مشكل، فسأساعدك.
I would like to speak to the head nurse.	أود التحدث إلى رئيسة الممرضات.
I would like to speak to the head nurse.	أود التحدث إلى رئيس الممرضين.
I'm at work now, so I'll call you later.	أنا في العمل الأن, لذلك سأتصل بكَ لاحقاً.
I'm at work now, so I'll call you later.	أنا في العمل الأن, لذلك سوف أتصل بكِ لاحقاً.
I'm going to go visit my uncle tomorrow.	أنوي زيارة عمّي في الغد.
I'm looking forward to doing this again.	أنا أتتطلع لأفعل هذا مجدداً.
I'm looking forward to working with you.	أنا أتتطلع لأعمل معك.
I'm not satisfied with what you've done.	لست راضيا عما فعلته.
I'm not sure what Tom was talking about.	لست متأكدا حيال ما كان يتحدث توم عنه.
I'm old enough to make my own decisions.	أنا نضج كفايةً لأتّخذ قراراتي الخاصّة.
I'm sorry I don't have my watch with me.	آسف ساعتي ليست معي.
I'm sorry that I can't meet you tonight.	آسف لكني لا أستطيع أن أقابلك الليلة.
I'm sorry, but it's no longer available.	أنا آسف، ولكن هذا لم يعد متاحاً.
I'm sure I've seen him somewhere before.	متأكّد أني رأيته قبلا في مكان ما.
I've worked as a waiter for three years.	عملت نادلًا لثلاث سنوات.
If I were you, I would also do the same.	لو كنتُ مكانك, كنتُ سأفعل نفس الشئ؟
If it rains tomorrow, I'll stay at home.	إذا أمطرت غداً سأبقى في المنزل.
It is certainly possible if you want it.	الأمر ممكن بالتأكيد إن أردت.
It's about a ten-minute drive from here.	تبعد مسافة عشر دقائق بالسيارة عن هنا.
It's too dangerous for you to stay here.	خطير جداً بالنسبة لكَ أن تكون هنا.
It's too dangerous for you to stay here.	خطير جداً لكِ أن تكوني هنا.
Let's play baseball when the rain stops.	لنلعب كرة القاعدة حين يتوقف المطر.
Many tourists visit Kyoto in the spring.	يزور العديد من السياح مدينة كيوتو في الربيع .
Mastering a foreign language isn't easy.	إتقان لغة أجنبية ليس بالأمر السهل
Muslims always pray facing toward Mecca.	يصّلي المسلمون دائما و هم متوجّهون نحو الكعبة.
No fewer than 50 passengers were killed.	قُتل ما لا يقل عن 50 راكبًا.
Our house was robbed while we were away.	سُرق منزلنا عندما كنا مسافرين.
People sometimes compare death to sleep.	يقارن الناس أحيانًا بين الموت والنوم.
Please correct me when I make a mistake.	من فضلك, صحِح لي, عندما أُخطيء.
Please tell Tom I'm sorry that happened.	رجاء أخبر توم أني آسف لما حدث.
She killed herself at the age of thirty.	انتحرت عن عمر ينازه الثلاثين عاماً.
Shouldn't you be getting ready for work?	ألا يفترض بك أن تستعد للعمل؟
Speech is silver, but silence is golden.	الكلام فضة، لكن الصمت ذهب.
That child was left in the sun too long.	تُرك ذاك الطفل في الشمس مدة طويلة للغاية.
The United States annexed Texas in 1845.	ضمّت الولاياتُ المتحدةُ الأمريكيةُ تكساسَ عام 1845.
The car broke down, so they had to walk.	تعطلت السيارة فعليهم أن يمشوا.
The cargo ship arrived four hours early.	سفينة الشحن وصلت مبكرة باربع ساعات.
The dip was so hot, it burned my tongue.	الصلصة كانت حارة جداً ، انها حرقت لساني.
The others will arrive in a few minutes.	سيصل الاخرون في غضون دقائق قليلة.
The others will arrive in a few minutes.	سيصل الاخرون في غضون دقائق معدودة.
The others will arrive in a few minutes.	الآخرون على وصول.
The police officer fired a warning shot.	أطلق الشرطي رصاصة تحذيرية.
The situation is worse than we believed.	الموقف أسوأ مما نظن.
The station is to the west of the hotel.	تقع المحطة غرب الفندق.
The students learned this poem by heart.	حفظ الطلبة هذه القصيدة.
The students learned this poem by heart.	حفظ التلاميذ هذه القصيدة عن ظهر قلب.
The tourists wandered around the stores.	تجول السياح حول المحلات التجارية .
The wedding will take place next spring.	سيقام العرس في الربيع القادم.
There are a lot of children in the park.	هنالك الكثير من الأطفال في الحديقة.
There are several ways to measure speed.	هناك عدة طرق لقياس السرعة.
There is little milk left in the bottle.	بقي القليل من الحليب في الزجاجة.
They became professional soccer players.	صاروا لاعبِي كرة قدمٍ محترفين.
This dictionary is better than that one.	هذا القاموس أفضل من ذاك.
This dictionary is superior to that one.	هذا القاموس أفضل من ذاك.
This is where Tom usually parks his car.	هنا حيث توم يركن سيارته غالبا.
This park is really beautiful and clean.	هذا المنتزه جميل و نظيف حقاً.
This shop has more candy than that shop.	يوجد في هذا المتجر حلوى أكثر من المتجر الآخر.
This shop has more candy than that shop.	في هذا المتجر حلوى أكثر من ذاك.
To make matters worse, her husband died.	ومما زاد الطين بلةً، أن زوجها توفي.
To make matters worse, her husband died.	وما زاد الأمور سوءًا، أن زوجها توفي.
Tom asked me if I knew where Mary lived.	سألني توم إن كنت أعرف أين كانت تعيش ماري.
Tom got three presents for his birthday.	تلقى توم ثلاثة هدايا بمناسبة عيد مولده.
Tom is the one who paid for the tickets.	توم هو الذي دفع ثمن التذاكر.
Tom isn't interested in politics at all.	توم ليس مهتماً بالسياسة بعد الآن.
Tom isn't old enough to understand this.	توم ليس كبيراً بما يكفي ليفهم هذا.
Tom said that's what he's always wanted.	توم قال بماذا يريد هو دائما.
Tom was eating dinner when Mary arrived.	كان توم يأكل العشاء عندما وصلت ماري.
We are working in the interest of peace.	نحن نعمل لأجل السلام.
We could see the sunset from the window.	أمكننا أن نرى غروب الشمس من النافذة.
We have a dog, a cat and three canaries.	عندنا كلبٌ، وقط، وثلاثة من الكناري.
We're going to wait until Tom gets here.	سننتظر حتى يأتي توم هنا.
We're no longer living in the stone age.	لم نعد نعيش في العصر الحجري.
What time does your watch say it is now?	ما الوقت الذي تشير إليه ساعتك الآن؟
When he was young, he was a hard worker.	عندما كان شاباً، كان عاملاً مثابراً.
Where is the tourist information office?	أين هو مكتب المعلومات السياحية؟
Why don't you ride your bicycle to work?	لماذا لا تركب دراجتك للعمل؟
You can't afford to neglect your health.	لا يسعك أن تهمل صحتك.
You know I'm not coming back, don't you?	أنت تعرف أنني لن أعود، أليس كذلك؟
You must have the report done by Monday.	يجب أن تتم هذا التقرير قبل يوم الأثنين.
You must work hard in order not to fail.	يجب أن تعمل بجد حتى لا تفشل.
You should be ashamed of your ignorance.	ينبغي أن تخجل من جهلك.
You should give up drinking and smoking.	ينبغي أن تقلع عن الشرب والتدخين.
You will never get bored in her company.	لن تشعر أبداً بالملل في صحبتها.
A long time ago, there was a bridge here.	منذ زمن بعيد، كان هناك جسر هنا.
A number of experts attended the meeting.	حضر اللقاء عدد من أصحاب الإختصاص.
About how many English words do you know?	كم كلمة انجليزية تعرف؟
Above all things, we must not be selfish.	قبل كل شيء، يجب ألا نكون أنانيين.
All Tom really wanted was glass of water.	كل ما كان يريده توم حقاً كان كأساً من الماء.
Are you the one who organized this party?	أأنت من نظّم الحفلة؟
Do I have to answer all of the questions?	هل علي أن أجيب علی أسئلتك كلها؟
Do I have to answer all of the questions?	هل يجب علي أن أجيب علی أسئلتك كلها؟
Do you remember what you did last Friday?	أتذكرُ ما فعلتَ الجمعة الماضية؟
Do you remember what you did last Friday?	أتذكري ما فعلتِ الجمعة الماضية؟
Don't worry, I'll translate that for you.	لا تقلق، سأترجم لك ذلك.
Don't you think you should get some rest?	ألا تظنّ أنّ عليك أخذ قسطٍ من الراحة؟
Dr. Hideo Noguchi died in Africa in 1928.	تُوفِّي د.هيديو نوغوتشي في أفريقيا عام 1928.
Everybody is immune to smallpox nowadays.	عند كل الناس مناعةٌ من الجدري اليوم.
Everyone has both strong and weak points.	كل شخص لديه كلاً من نقاط الضعف والقوة.
Frankly speaking, I don't agree with you.	بصراحة لا أوافقك الرأي.
Good morning. We have good weather today.	صباح الخير, اليوم لدينا طقسُ جميل.
Have you ever written a computer program?	أكتبت من قبل برنامجا حاسوبيا؟
Have you finished writing the letter yet?	هل أنهيت كتابة الرسالة بعد؟
He arrived with a pretty girl on his arm.	إنهُ وصل مع فتاة حسناء علي ذراعهُ.
He drinks a glass of water every morning.	إنه يشرب كأساً من الماء كل صباح.
He had no difficulty solving the problem.	لم يواجه صعوبةً تذكر في حلّ المشكلة.
He is on the point of leaving for Canada.	إنه على وشك المغادرة إلى كندا.
He likes to go to the beach now and then.	يعجبه الذهاب بالشاطئ بين الفينة والأخرى.
His daughter and my son are good friends.	ابنته وابني صديقان جيدان.
I always wondered what was in your attic.	تساءلت دائما عن ما يوجد في عليتك
I believe he is going to be rich one day.	أعتقد أنه سيصبح غنياً يوماً ما.
I can't think of anything to write about.	لا شيء في بالي للكتابة عنه.
I didn't know how to answer his question.	لم أعرف كيف أجيب على سؤاله.
I don't believe you. You're always lying.	أنا لا أصدقك, أنت تكذب دائماً.
I don't believe you. You're always lying.	أنا لا أصدقُكِ, أنتِ دائماً تكذبين.
I don't know exactly when I will be back.	لا أعلم متى سأعود بالتحديد.
I don't remember asking for your opinion.	لا أتذكر بأنني طلبت منك أن تبدي رأيك
I fell asleep before my father came home.	غفوت قبل أن يأتي والدي للمنزل.
I guess I could wait a little bit longer.	أظن أنني يمكنني الانتظار أكثر قليلا.
I have three cousins on my mother's side.	لدي ثلاث أولاد خالة.
I have trouble talking about my feelings.	أواجه صعوبةً في التحدث عن مشاعري.
I just don't feel like going out tonight.	كل ما في الأمر أني لا أريد الخروج الليلة.
I just don't feel like going out tonight.	ليس لدي رغبة في الخروج الليلة فحسب.
I opened the door and got out of the car.	فتحتُ الباب وخرجت من السيارة.
I remember seeing her once on the street.	أتذكر أني رأيتها مرة على الطريق.
I remember seeing her once on the street.	أذكر أني لمحتها مرة على الطريق.
I saw a fox run across the road just now.	رأيت ثعلبًا يقطع الطريق للتو.
I think Tom is likely to like this movie.	اعتقد من المحتمل بان توم يفضل هذا الفلم.
I want to answer the last question first.	أريد الإجابةَ على السؤال الأخير أولاً.
I want to spend more time alone with you.	أريد أن أقضي وقتًا أكثر معك وحدنا.
I was afraid of getting lost in the dark.	كنت خائفاً من أن أضيع في الظلمة.
I was fortunate to make his acquaintance.	من حسن حظي أن صرتُ صديقه.
I wouldn't want you to be late for class.	أنا لا أريد أن تتأخر على الصف.
I've been working since six this morning.	أعمل منذ السادسة صباحاً.
I've decided to stay for a few more days.	قرّرتُ البقاء لبضعة أيام أُخر.
I've finally finished writing the report.	أخيرا أنهيتُ كتابة التقرير.
Instead of going myself, I sent a letter.	بعثت برسالة بدلاً من الذهاب بنفسي.
Is Tom really going to Boston by himself?	أحقّا سيذهب توم إلى بوسطن لوحده؟
Is this a picture that you yourself drew?	هل هذه صورة أنتَ رسمتَها بنفسك؟
Is this a picture that you yourself drew?	هل هذه صورة أنتِ رسمتِها بنفسك؟
It is necessary for you to start at once.	عليك أن تبدأ حالاً.
It is rude to speak with your mouth full.	ليس من الأدب أن تتكلم و فمك ممتلئ.
It looks like this house is a total mess.	يبدو هذا المنزل مخرّبا بالكامل.
It seems like years since Sunday morning.	وكأن أعواما مضت منذ صباح الأحد.
Language acquisition requires creativity.	يحتاج اكتساب اللغة إلى الإبداع.
Learning a foreign language is difficult.	تعلم لغة أجنبية صعب.
Legend has it that this house is haunted.	تقول الاسطورة أن هذا البيت مسكون.
Let's get out of here before Tom sees us.	دعنا نخرج من هنا قبل أن يرانا توم.
Let's get out of here before Tom sees us.	دعينا نخرج من هنا قبل أن يرانا توم.
Let's get out of here before Tom sees us.	دعونا نخرج من هنا قبل أن يرانا توم.
Make a sentence with each of these words.	ألف جملة لكلٍ من هذه الكلمات.
Most people write about their daily life.	معظم الناس يكتبون عن حياتهم اليومية.
My mother is making a cake for my father.	تقوم أمي بإعداد كعكة لأجل أبي.
My mother is making a cake for my father.	تعد أمي كعكة لأبي.
One is Japanese and the other is Italian.	أحدهما ياباني و الآخر إيطالي.
One of the suitcases is completely empty.	إحدى الحقائب فارغة تماماً.
Please don't talk about me when I'm gone.	من فضلك لا تتحدث عني أثناء غيابي.
Please write down what I am going to say.	من فضلك اكتب ما سأقوله.
Rear end collisions often cause whiplash.	غالباً ما تسبب الاصطدامات الخلفية اصابة في الرقبة .
She despises him only because he is poor.	تبغضه لأنه فقير فحسب.
Soccer is the world's most popular sport.	كرة القدم هي رياضة العالم الأكثر شعبيّة.
The TV remote control is under the couch.	جهاز تحكم التلفاز تحت الأريكة.
The cough syrup has a licorice flavoring.	شراب السعال فيه نكهة عرق السوس.
The doctor advised me to give up smoking.	نصحني الطبيب بالإقلاع عن التدخين.
The houses caught fire one after another.	احترقت المنازل واحدة تلو الأخرى.
The rioters beat many policemen to death.	قام المتظاهرون بضرب العديد من رجال الشرطة حتى الموت.
The strike affected the nation's economy.	أثًّر الإضراب على اقتصاد البلاد.
The students learned many poems by heart.	حفظ الطلبة الكثير من القصائد.
The tank has a capacity of fifty-gallons.	سعة الخزان خمسون جالوناً.
The teacher is with the school principal.	المدرس عند المدير.
The world is full of gossipers and liars.	العالم مليء بمروجي الشائعات والكذابين.
There are many red flowers in the garden.	هناك الكثير من الورود الحمراء في الحديقة.
There are numerous universities in Kyoto.	هناك العديد من الجامعات في كيوتو.
There is no reason why I shouldn't do it.	لا يوجد سبب لئلا أفعله.
They are demanding shorter working hours.	هم يطالبون بساعات عمل أقل.
They say that Venice is a beautiful city.	يُقال أن البندقيّة مدينة جميلة.
This afternoon we will have an interview.	بعد ظُهر هذا اليوم سيكون لدينا مقابلة.
This is the worst movie I have ever seen.	هذا أسوأ فلم شاهدته في حياتي.
This medicine will relieve your headache.	هذا الدواء سيخفف من صداعك.
This medicine will relieve your headache.	من شأن هذا الدواء أن يخفف من شأن حدة صداع رأسك.
This question is one of great importance.	هذا سؤال مهم جداً.
Throw a stick and watch the dog fetch it.	ارم العصى وشاهد الكلب يجلبها.
Today, I was done with my homework early.	أنجزت واجباتي مبكراً اليوم.
Tom became depressed after Mary left him.	أصاب الإحباط توم بعدما تركته ماري.
Tom converted his bedroom into an office.	حوّل توم غرفة نومه إلى مكتب.
Tom has decided to start studying French.	قرر "توم" أن يبدأ بتعلم اللغة الفرنسية
Tom is drinking directly from the faucet.	توم يشرب من الصنبور مباشرة
Tom isn't qualified to teach high school.	توم ليس مؤهلاً لتدريس المدرسة الثانوية.
Tom isn't sure whether he's ready or not.	توم غير متأكد من أنه جاهز أم لا.
Tom isn't yet able to write his own name.	ليس بمقدور توم كتابة اسمه بعد.
Tom lost three million dollars last year.	خسر توم ثلاثة ملايين دولار السنة الماضية.
Tom said he wanted something else to eat.	قال توم بأنه يريد شيئا آخر يأكله.
Tom spent the entire afternoon with Mary.	توم أمضى فترة بعد الظهر بأكملها مع ماري.
Tom thinks Mary should apologize to John.	يظن توم أن على ماري الاعتذار من جون.
Tom wanted to go wherever Mary was going.	توم أراد أن يذهب أينما كانت ماري تذهب .
We don't know where we'll live next year.	نحن لا نعرف اين سنعيش في العام المقبل
We haven't received any help from anyone.	لم نلق مساعدة من أحد.
We need to do the important things first.	نحن بحاجة الى القيام بالاشياء المهمة اولا
We put up the flags on national holidays.	نرفع الأعلام في الأعياد الوطنية.
Which came first, the chicken or the egg?	أيهما جاء أولاً، الدجاجة أم البيضة؟
Without your advice, I would have failed.	من دون نصائحك لكنت فشلت.
Without your advice, I would have failed.	لولا نصائحك لفشلت.
Would you please pour me a cup of coffee?	هل لك أن تصبّ لي كأساً من القهوة من فضلك؟
Would you please tell me your name again?	من فضلك، هلّا أخبرتني اسمك ثانيةً؟
You had better stay away from work today.	كان من الأحسن لو تركت العمل اليوم.
You have cleaned your shoes, haven't you?	لقد نظفت حذائك، أليس كذلك؟
"Tatoeba" means "for example" in Japanese.	"Tatoeba" معناها "على سبيل المثال" باللغة اليابانية.
A widow is a woman whose husband has died.	الأرملة هي امرأة مات زوجها.
After a while, the man came into the room.	بعد لحظة، دخل الرجل الى الغرفة.
Americans have lost their trust in Toyota.	فقد الأمريكيون ثقتهم في تويوتا.
Both of my parents don't know how to swim.	كلا والداي لا يعرفان كيف يسبحان
Can you tell me how to get to the station?	هل يمكنك أن تخبرني كيف أصل إلى المحطة؟
Cancer can be cured if discovered in time.	من الممكن علاج السرطان إذا اكتشف قبل فوات الأوان.
Could you get me a glass of water, please?	هلا جلبت لي كأسا من الماء من فضلك؟
Could you please tell me why you love her?	أيمكنك إخباري عن سبب حبك لها؟
Could you please tell me why you love her?	هل يمكنك أن تقول لي لماذا تحبها؟
Do you believe in the existence of ghosts?	هل تؤمن بوجود الأشباح؟
Do you really want to talk about that now?	هل أنتِ تريد حقاً التحدث بشأن هذا الأن؟
Do you really want to talk about that now?	هل أنتِ حقاً تريدين التحدث عن هذا الأن؟
Do you remember the day when we first met?	هل تذكر اليوم الذي تقابلنا فيه أول مرة؟
Don't give up yet. I'm sure you can do it.	لا تستسلم، أنا متأكد/متأكدة أنك تستطيع/تستطيعين فعل ذلك.
Don't worry. He doesn't understand German.	لا تقلق. إنهُ لا يفهم الألمانية.
Everyone wants to meet you. You're famous!	الكل يريد أن يتعرف عليك. إنك مشهور!
He promised me that he would come at four.	لقد وعدني أنه سيأتي على الساعة الرابعة.
He was accused of stealing dinosaur bones.	لقد أُتُهم بسرقة عظام الديناصورات.
He was covered with mud from head to foot.	غطاه الوحل من رأسه إلى أخمص قدميه.
He was covered with mud from head to foot.	غطاه الوحل من رأسه حتى قدميه.
He works hard to support his large family.	يعمل جاهداً ليعيل أسرته الكبيرة.
He's very honest, so we can depend on him.	إنهُ صادق جداً, لذا يمكننا أن نعتمد عليه.
Her daughter has become a beautiful woman.	أصبحت ابنتها امرأة جميلة.
Her father left her the house in his will.	ترك أبوها البيت لها في وصيته.
How far is it from your house to the park?	كم تبعد الحديقة عن منزلك؟
I advise you not to keep company with Tom.	أنصحك بعدم مصاحبة توم.
